ID_JF	N	niche.mean	niche.med	niche.sd	bio	long	lat	Temp	Alt	Area	Brealm
NAJF174847	1000	0.296894737	0.263157895	0.178168417	0.079534	-77.9	38.4	12.9	6	128	Nearctic
NAJF175185	1000	0.345736842	0.368421053	0.165962167	0.139595	-121	38.9	16.7	52	76	Nearctic
NAJF177139	1000	0.286526316	0.263157895	0.161058034	0.050736	-77.7	37.9	13.5	104	127	Nearctic
NAJF177908	1000	0.279	0.263157895	0.157748901	0.104271	-79	37.8	12.8	143	57	Nearctic
NAJF180854	1000	0.293052632	0.263157895	0.172757898	0.127488	-79.1	36.7	14	114	64	Nearctic
NAJF181559	1000	0.302157895	0.263157895	0.160013522	0.077944	-77.9	36	15.6	45	113	Nearctic
NAJF182625	1000	0.283578948	0.263157895	0.151956691	0.10073	-78.1	35.6	15.2	84	27	Nearctic
NAJF184372	1000	0.293894737	0.263157895	0.158210036	0.093262	-78.8	35.3	16	61	55	Nearctic
NAJF185224	1000	0.363263158	0.368421053	0.174411375	0.07976	-118.3	34.2	15.7	119	36	Nearctic
NAJF185617	1000	0.267842105	0.263157895	0.154361168	0.106718	-79.9	34.9	16.3	139	73	Nearctic
NAJF185907	1000	0.283947369	0.263157895	0.15081667	0.136505	-81.4	34.8	16.3	34	92	Nearctic
NAJF186574	1000	0.278631579	0.263157895	0.150232615	0.049002	-81	33.4	17.5	46	137	Nearctic
NAJF187435	1000	0.290105263	0.263157895	0.160566545	0.113732	-82.4	33.8	15.9	19	72	Nearctic
NAJF187550	1000	0.304526316	0.263157895	0.170372597	0.358505	-110.6	36.7	11.1	81	122	Nearctic
NAJF187602	1000	0.277105263	0.263157895	0.155824503	0.06409	-82.1	32.7	18	145	24	Nearctic
NAJF187893	1000	0.286736842	0.263157895	0.164788953	0.070634	-83.2	32.8	17.7	76	89	Nearctic
NAJF188115	1000	0.324947369	0.315789474	0.148246049	0.033068	-82.4	31.4	19.2	108	152	Nearctic
NAJF188198	1000	0.268368421	0.210526316	0.146377627	0.2764	-86.9	33.2	16.6	135	25	Nearctic
NAJF188256	1000	0.291473684	0.263157895	0.17226911	0.034024	-82	30.5	20.9	96	68	Nearctic
NAJF188446	1000	0.258736842	0.210526316	0.149764737	0.098629	-86.7	31.5	18.2	10	12	Nearctic
NAJF188683	1000	0.282631579	0.263157895	0.160680861	0.069864	-87.6	30.7	19.7	142	80	Nearctic
NAJF188945	1000	0.261684211	0.263157895	0.151844974	0.084821	-89	31.6	18.1	38	59	Nearctic
NAJF189234	1000	0.276789474	0.263157895	0.140112796	0.048363	-81.6	29.1	21.5	106	52	Nearctic
NAJF190495	1000	0.259578948	0.263157895	0.15058116	0.13613	-89.8	31.9	17.6	33	49	Nearctic
NAJF191407	1000	0.282473684	0.263157895	0.15932227	0.060546	-84.3	30.7	19.6	123	35	Nearctic
NAJF192181	1000	0.299684211	0.263157895	0.170828995	0.079272	-96.5	32.3	18.7	49	105	Nearctic
NAJF192182	1000	0.270842105	0.263157895	0.163957197	0.072612	-93.1	30.6	20.1	106	151	Nearctic
NAJF192610	1000	0.27931579	0.263157895	0.155432312	0.125029	-84.7	32.2	18.2	110	109	Nearctic
NAJF193002	1000	0.278684211	0.263157895	0.157146383	0.078911	-94.6	31.5	18.4	28	66	Nearctic
NAJF195357	1000	0.261684211	0.210526316	0.145045707	0.265718	-96.6	40.7	11.1	92	82	Nearctic
NAJF195640	1000	0.291105263	0.263157895	0.157332111	0.057726	-83	30.7	19.8	131	61	Nearctic
NAJF196784	1000	0.276210527	0.263157895	0.153147612	0.03273	-82.7	29.3	20.7	91	34	Nearctic
NAJF197535	1000	0.290526316	0.263157895	0.160495242	0.038839	-82.1	28.7	21.6	82	78	Nearctic
NAJF197681	1000	0.293105263	0.263157895	0.170283345	0.085014	-98.9	32.3	17.7	25	16	Nearctic
NAJF198020	1000	0.296052632	0.263157895	0.172557142	0.048093	-96.8	29.3	20.9	100	117	Nearctic
NAJF198325	1000	0.289421053	0.263157895	0.169014672	0.099701	-100.4	31.6	18.2	20	4	Nearctic
NAJF198911	1000	0.286473684	0.263157895	0.160072707	0.1167	-98.1	29.5	19.5	105	33	Nearctic
NAJF200409	1000	0.311736842	0.263157895	0.160144752	0.037028	-82.3	28.2	22.4	86	40	Nearctic
